EVA_NR;DS100;IFOPT;NAME;Verkehr;Laenge;Breite;Betreiber_Name;Betreiber_Nr;Status
8000149;EHM;de:05915:7756;Hamm(Westf);FV;7,807821;51,678078;DB Station und Service AG;2528;
8000150;FH,FH  N,FH  S;de:06435:4503;Hanau Hbf;FV;8,929;50,120953;DB Station und Service AG;2537;
8000152;HH;de:03241:31;Hannover Hbf;FV;9,741021;52,376761;DB Station und Service AG;2545;
8000155;AHI;de:01051:39654;Heide(Holst);FV;9,101029;54,193563;DB Station und Service AG;2625;
8000156;RH;de:08221:1160;Heidelberg Hbf;FV;8,675442;49,403567;DB Station und Service AG;2628;
8000157;TH;de:08121:26;Heilbronn Hbf;FV;9,207715;49,143306;DB Station und Service AG;2648;
8000159;HHLM;de:03154:3261;Helmstedt;FV;11,010553;52,222086;DB Station und Service AG;2677;
8000162;EHFD;de:05758:1380;Herford;FV;8,663643;52,119609;DB Station und Service AG;2708;
8000163;TTU;de:08327:1748;Tuttlingen;FV;8,798542;47,980579;DB Station und Service AG;6292;
8000168;HU;de:03360:92160;Uelzen;FV;10,553053;52,969781;DB Station und Service AG;6310;
8000169;HHI;de:03254:9922;Hildesheim Hbf;FV;9,953497;52,160626;DB Station und Service AG;2765;
8000170;TU;de:08421:1008;Ulm Hbf;FV;9,982227;48,399437;DB Station und Service AG;6323;
8000171;EUN;de:05978:11218;Unna;FV;7,692858;51,538982;DB Station und Service AG;6335;
8000174;KV;de:05166:22005;Viersen;FV;6,403896;51,254947;DB Station und Service AG;6415;
8000176;SHO;de:10045:8000176;Homburg(Saar)Hbf;FV;7,337035;49,328082;DB Station und Service AG;2892;
8000177;THB;de:08237:5001;Horb;FV;8,688982;48,441471;DB Station und Service AG;2906;
8000181;AHM;de:01054:44660;Husum;FV;9,055026;54,472271;DB Station und Service AG;2953;
8000182;RIM;de:08327:1242;Immendingen;FV;8,729536;47,936007;DB Station und Service AG;2982;
8000183;MIH;de:09161:9000;Ingolstadt Hbf;FV;11,437337;48,744541;DB Station und Service AG;2993;
8000189;SKL;de:07312:9035;Kaiserslautern Hbf;FV;7,768716;49,436137;DB Station und Service AG;3082;
8000191;RK;de:08212:90;Karlsruhe Hbf;FV;8,402181;48,993515;DB Station und Service AG;3107;
8000192;EWAN;de:05916:7590;Wanne-Eickel Hbf;FV;7,165783;51,531256;DB Station und Service AG;6533;
8000194;MKFB;de:09762:950;Kaufbeuren;FV;10,629496;47,875432;DB Station und Service AG;3141;
8000196;HWAR;de:05762:8130;Warburg(Westf);FV;9,163845;51,492953;DB Station und Service AG;6537;
8000197;MKP;de:09763:99;Kempten(Allgäu)Hbf;FV;10,31761;47,711745;DB Station und Service AG;3155;
8000199;AK;de:01002:49079;Kiel Hbf;FV;10,131976;54,314985;DB Station und Service AG;3174;
8000206;KKO;de:07111:010001;Koblenz Hbf;FV;7,588345;50,350929;DB Station und Service AG;3299;
8000207;KK;de:05315:11201;Köln Hbf;FV;6,958729;50,94303;DB Station und Service AG;3320;
8000208;KKER,KKERP;de:05315:14201;Köln-Ehrenfeld;FV;6,917276;50,951533;DB Station und Service AG;3330;
8000211;KKR;de:05114:21002;Krefeld Hbf;FV;6,569885;51,325717;DB Station und Service AG;3403;
8000213;HK;de:03155:3532;Kreiensen;FV;9,967798;51,851423;DB Station und Service AG;3407;
8000220;MWH;de:09190:41571;Weilheim(Oberbay);FV;11,14286;47,845363;DB Station und Service AG;6616;
8000225;HLEE;de:03457:54173;Leer(Ostfriesl);FV;7,465283;53,23165;DB Station und Service AG;3609;
8000228;NLF;de:09478:27000;Lichtenfels;FV;11,059472;50,146452;DB Station und Service AG;3700;
